RAW-0772	Khăn lau chén	CON
RAW-0773	Khăn lau đa năng	CON
RAW-0774	Khay CTN36	NRM
RAW-0775	Khay lỗ VN inox 304 sâu 65cm	NRM
RAW-0776	Khay phẳng VN inox 304 sâu 65cm	NRM
RAW-0777	Khay sashimi	NRM
RAW-0778	Ki hốt rác	NRM
RAW-0779	Kiềng bếp á	NRM
RAW-0780	Lò nướng thực phẩm salamander 12 họng gas hàng VN	NRM
RAW-0781	Lò Nướng TP 10 họng	NRM
RAW-0782	Lò than đất	NRM
RAW-0783	Lò vi sóng Sharp R-G222VN-S	NRM
RAW-0784	Lò vi sóng Toshiba MW2-AG24PC(BK)	NRM
RAW-0785	Lu đất không nắp	CON
RAW-0786	Lu đất có nắp	CON
RAW-0787	Nắp lu	CON
RAW-0788	Lu quay	CON
RAW-0789	Miếng rửa chén	CON
RAW-0790	Ly bia	CON
RAW-0791	Ly rượu	CON
RAW-0792	Ly giấy 12/14oz 2 lớp in logo Airdream	CON
RAW-0793	Ly giấy 16 oz và nắp	CON
RAW-0794	Ly inox	NRM
RAW-0795	Ly nhựa pet 12-93 in logo Airdream	CON
RAW-0796	Ly rock	CON
RAW-0798	Mâm inox	NRM
RAW-0799	Màn hình E-Dra EGM22F100	NRM
RAW-0800	Máy xay sinh tố công nghiệp chống ồn Uniblend UB-712	NRM
RAW-0801	Máy xay tỏi	NRM
RAW-0802	Mẹt cầm nồi nâu	NRM
RAW-0803	Mẹt tre size 35cm	NRM
RAW-0804	Mẹt tre size 50cm	NRM
RAW-0805	Mẹt tre size 60cm	NRM
RAW-0806	Móc quay gà	NRM
RAW-0807	Muỗng inox	NRM
RAW-0808	Muỗng nhựa FATACO No 14	NRM
RAW-0809	Nắp nút bật phi 90 ly giấy	CON
RAW-0810	Nắp ly nhựa 93	CON
RAW-0811	Nến viên ( hộp 100 viên)	CON
RAW-0812	Nồi gang 2L	NRM
RAW-0813	Nồi inox 15L	NRM
RAW-0814	Nồi inox 30L	NRM
RAW-0815	Nồi inox 60L	NRM
RAW-0816	Nồi inox 80L	NRM
RAW-0817	Nồi kho quẹt	NRM
RAW-0818	Nồi lẩu 24 cm	NRM
RAW-0819	Nồi lẩu nhôm có nắp 3L	NRM
RAW-0820	Nước lau sàn	CON
RAW-0821	Nước rửa chén	CON
RAW-0822	Nước rửa tay	CON
RAW-0823	Nước xịt bếp Cif	CON
RAW-0824	Nút chai bình đựng rượu	CON
RAW-0825	Ống đũa nhôm guigoz	NRM
RAW-0826	Ống đũa inox	NRM
RAW-0827	Ống hút rượu cần	CON
RAW-0828	Ống hút đen Fi 6	CON
RAW-0829	Ống hút Fi 12 20 cm	CON
RAW-0830	Ống hút Fi 8 20 cm	CON
RAW-0831	Ống hút giấy Fi 12 20 cm	CON
RAW-0832	Ống hút giấy Fi 6 20 cm	CON
RAW-0833	Ống hút giấy Fi 8 20 cm	CON
RAW-0834	Ống hút nhựa Fi 12	CON
RAW-0835	Ống hút nhựa Fi 8	CON
RAW-0836	Palet nhựa 60x1000	NRM
RAW-0837	Phểu	NRM
RAW-0838	Phểu lớn	NRM
RAW-0839	Quánh inox 1.5 lít	NRM
RAW-0840	Quẹt khò	CON
RAW-0841	Rack ly 20	NRM
RAW-0842	Rack nối 20	NRM
RAW-0843	Ray lược inox có tay cầm	NRM
RAW-0844	Rổ 0224	NRM
RAW-0845	Rổ 2368	NRM
RAW-0846	Rổ inox 28cm	NRM
RAW-0847	Rổ lớn	NRM
RAW-0848	Rổ nhỏ	NRM
RAW-0849	Sạn gỗ	NRM
RAW-0850	Sáp thơm	CON
RAW-0851	Tăm	CON
RAW-0852	Tap bill	CON
RAW-0853	Tạp dề vải	CON
RAW-0854	Tạp dề nhựa	CON
RAW-0855	Thảm ăn nhựa lót bàn	NRM
RAW-0856	Than nướng	CON
RAW-0857	Thau inox 10x 40	NRM
RAW-0858	Thau inox 18	NRM
RAW-0859	Thau inox 30	NRM
RAW-0860	Thau inox lớn size 40	NRM
RAW-0861	Thau inox lớn size 60	NRM
RAW-0862	Thau inox size 28	NRM
RAW-0863	Thau inox size 40	NRM
RAW-0864	Thìa gỗ	CON
RAW-0865	Thố đen số 7 size 18 cm	NRM
RAW-0866	Thố gang trắng size 21 cm	NRM
RAW-0867	Thố nhựa trong	NRM
RAW-0868	Thố than inox	NRM
RAW-0869	Thớt 35 x 450	NRM
RAW-0870	Thớt đỏ	NRM
RAW-0871	Thớt gỗ 20x30	NRM
RAW-0872	Thớt gỗ thịt sống 15x40 chặt	NRM
RAW-0873	Thớt nghiến 40	NRM
RAW-0874	Thớt xanh dương	NRM
RAW-0875	Thớt xanh lá	NRM
RAW-0876	Thùng nhựa 120L	NRM
RAW-0877	Thùng nhựa 14L	NRM
RAW-0878	Thùng nhựa 20L	NRM
RAW-0879	Thùng nhựa 30L	NRM
RAW-0880	Thùng nhựa 60L	NRM
RAW-0881	Thùng nhựa 9L	NRM
RAW-0882	Thùng nhựa 55L	NRM
RAW-0883	Thùng rác 85L	NRM
RAW-0884	Thùng rác 990L	NRM
RAW-0885	Thùng rác lật trong	NRM
RAW-0886	Tivi led TCL 32S5K	NRM
RAW-0887	Tô giấy 750ml	CON
RAW-0888	Tô lớn	NRM
RAW-0889	Tô nhỏ	NRM
RAW-0890	Tủ điều khiển thời gian tự hấp	NRM
RAW-0891	Tủ đông công nghiệp 4 cánh	NRM
RAW-0892	Tủ đông Sanaky VH 6699HY3	NRM
RAW-0893	Tủ hấp VN 12 khay inox 304 điện đứng (chưa khay)	NRM
