Nhóm_chuẩn_hoá	Mã NVL	Tên NVL	Cap_1	Cap_2	Giá_BQ	ĐVT_mua
thung nhua	RAW-0876	Thùng nhựa 120L	NRM			Cái
thung nhua	RAW-0877	Thùng nhựa 14L	NRM			Cái
thung nhua	RAW-0878	Thùng nhựa 20L	NRM			Cái
thung nhua	RAW-0879	Thùng nhựa 30L	NRM			Cái
thung nhua	RAW-0880	Thùng nhựa 60L	NRM			Cái
thung nhua	RAW-0881	Thùng nhựa 9L	NRM			Cái
thung nhua	RAW-0882	Thùng nhựa 55L	NRM			Cái
thung nhua	RAW-1147	Thùng nhựa 2L	NRM			Cái
thung nhua	RAW-1157	Thùng nhựa 5L	NRM			Cái
thung nhua	RAW-1180	Thùng nhựa 15L	NRM			Cái
tui nilong	RAW-0645	Túi nilong 10 kg	CON	-		Kg
tui nilong	RAW-0646	Túi nilong 5 kg	CON	-		Kg
tui nilong	RAW-0647	Túi nilong 3 kg	CON	-		Kg
tui nilong	RAW-0648	Túi nilong 1 kg	CON	-		Kg
tui nilong	RAW-1095	Túi nilong 0.5 kg	CON			Kg
met tre size	RAW-0803	Mẹt tre size 35cm	NRM			Cái
met tre size	RAW-0804	Mẹt tre size 50cm	NRM			Cái
met tre size	RAW-0805	Mẹt tre size 60cm	NRM			Cái
met tre size	RAW-1166	Mẹt tre size 30cm	NRM			Cái
met tre size	RAW-1447	Mẹt tre size 70cm				Cái
noi inox	RAW-0813	Nồi inox 15L	NRM			Cái
noi inox	RAW-0814	Nồi inox 30L	NRM			Cái
noi inox	RAW-0815	Nồi inox 60L	NRM			Cái
noi inox	RAW-0816	Nồi inox 80L	NRM			Cái
noi inox	RAW-1154	Nồi inox 28L	NRM			Cái
can	RAW-0664	Cân 50 kg	NRM	-		Cái
can	RAW-0665	Cân 20 kg	NRM	-		Cái
can	RAW-0666	Cân 2 kg	NRM	-		Cái
can	RAW-1168	Cân 30 kg	NRM			Cái
chao sat quai size	RAW-0683	Chảo sắt 2 quai size 50cm	NRM	-		Cái
chao sat quai size	RAW-0684	Chảo sắt 1 quai size 40cm	NRM	-		Cái
chao sat quai size	RAW-0685	Chảo sắt 2 quai size 45cm	NRM	-		Cái
chao sat quai size	RAW-0686	Chảo sắt 2 quai size 60cm	NRM	-		Cái
me	RAW-0220	Me	RAW	RM07	30.000	Kg
me	RAW-0221	Mè	RAW	RM04	80.000	Kg
me	RAW-0222	Mẻ	RAW	RM07	40.000	Lít
tui rac hai quai	RAW-0641	Túi rác hai quai 90 kg	CON	-		Kg
tui rac hai quai	RAW-0642	Túi rác hai quai 60 kg	CON	-		Kg
tui rac hai quai	RAW-0643	Túi rác hai quai 50 kg	CON	-		Kg
tui rac x	RAW-0644	Túi rác 90cm x 1.2m	CON	-		Kg
tui rac x	RAW-0944	Túi rác 44 cm x 56 cm	CON			Kg
tui rac x	RAW-0945	Túi rác 55 cm x 65 cm	CON			Kg
chao nhom quai size	RAW-0680	Chảo nhôm 2 quai size 40cm	NRM	-		Cái
chao nhom quai size	RAW-0681	Chảo nhôm 2 quai size 50cm	NRM	-		Cái
chao nhom quai size	RAW-0682	Chảo nhôm 2 quai size 60cm	NRM	-		Cái
nuoc rua chen	RAW-0821	Nước rửa chén	CON			Lít
nuoc rua chen	RAW-0935	Nước rửa chén 3,6L	CON			Lít
nuoc rua chen	RAW-1044	Nước rửa chén 800g	CON			Chai
ong hut giay fi	RAW-0831	Ống hút giấy Fi 12 20 cm	CON			Cái
ong hut giay fi	RAW-0832	Ống hút giấy Fi 6 20 cm	CON			Cái
ong hut giay fi	RAW-0833	Ống hút giấy Fi 8 20 cm	CON			Cái
thau inox size	RAW-0862	Thau inox size 28	NRM			Cái
thau inox size	RAW-0863	Thau inox size 40	NRM			Cái
thau inox size	RAW-1184	Thau inox size 26	NRM			Cái
khay tron chong truot	RAW-1004	Khay tròn chống trượt	NRM			Cái
khay tron chong truot	RAW-1005	Khay tròn chống trượt 30cm	NRM			Cái
khay tron chong truot	RAW-1006	Khay tròn chống trượt 40cm	NRM			Cái
tui lau	RAW-1096	Túi lẩu 5L	CON			Kg
tui lau	RAW-1128	Túi lẩu 1L	CON			Kg
tui lau	RAW-1129	Túi lẩu 0.5L	CON			Kg
ban chat x m	RAW-1230	Bàn Chặt 60X1M6	NRM			Cái
ban chat x m	RAW-1231	Bàn Chặt 60X1M4	NRM			Cái
ban chat x m	RAW-1232	Bàn Chặt 70X1M6	NRM			Cái
com trang	RAW-0002	Cơm trắng	RAW	RM06	16	gr
com trang	RAW-0580	cơm trắng (chiên)	INT	-	11	gr
bia heineken silver	RAW-0103	Bia Heineken Silver 250 ml	RET	RM05	15333	Lon
bia heineken silver	RAW-0574	Bia Heineken Silver 330 ml	RET	RM05	18.667	Lon
bia sai gon chill	RAW-0104	Bia Sài Gòn Chill 250 ml	RET	RM05	10750	Lon
bia sai gon chill	RAW-0105	Bia Sài Gòn Chill 330 ml	RET	RM05	14750	Lon
bia tiger crystal	RAW-0107	Bia Tiger Crystal 250 ml	RET	RM05	11875	Lon
bia tiger crystal	RAW-0572	Bia Tiger Crystal 330 ml	RET	RM05	16.417	Lon
bot mi so	RAW-0117	Bột mì số 13	RAW	RM04	27500	Kg
bot mi so	RAW-0351	Bột mì số 11	RAW	RM04	27.000	Kg
ga ta	RAW-0174	Gà ta (size 1,3kg)	RAW	RM02	85000	Kg
ga ta	RAW-0393	Gà ta	RAW	RM02	85.000	Kg
hat doi	RAW-0189	Hạt dổi	RAW	RM07	1.000.000	Kg
hat doi	RAW-1086	Hạt dỗi	RAW			Gr
nuoc suoi dasani	RAW-0242	Nước Suối Dasani 350 ml	RET	RM05	2.792	Chai
nuoc suoi dasani	RAW-0551	Nước Suối Dasani 500 ml	RET	RM05	3.333	Chai
tuong ot cholimex	RAW-0330	Tương ớt Cholimex	RAW	RM07	430.000	Bình
tuong ot cholimex	RAW-1131	Tương ớt Cholimex (can 2,1kg)	RAW			Gr
uong cat trang	RAW-0391	Đường cát trắng	RAW	RM07	21.000 đ	Kg
uong cat trang	RAW-1098	Đường cát trắng ( bao 50kg )	RAW			Gr
muc ong	RAW-0430	Mực ống	RAW	RM01	240.000	Kg
muc ong	RAW-1286	Mực ống	RAW	-	270.000	Kg
qua olive en khong hat	RAW-0451	Quả olive đen không hạt	RAW	RM03	127.059	Kg
qua olive en khong hat	RAW-1132	Qủa Olive đen không hạt ( 3kg/lon)	RAW			Gr
ruou mai que lo	RAW-0455	Rượu mai quế lộ	RAW	RM05	120.000	Lít
ruou mai que lo	RAW-1008	Rượu mai quế lộ	RET			Ml
ruou mui cointreau	RAW-0456	Rượu mùi Cointreau	RAW	RM05	642.857	Lít
ruou mui cointreau	RAW-0920	Rượu mùi Cointreau	RET			Ml
ong hut ruou can	RAW-0593	Ống hút rượu cần	CON	-	6.000	cái
ong hut ruou can	RAW-0827	Ống hút rượu cần	CON			Cái
ban ra mon	RAW-0634	Bàn ra món ( 2.15m 0.58m mặt và ván )	NRM	-		Bộ
ban ra mon	RAW-0635	Bàn ra món ( 2.8m 0.6m mặt và ván )	NRM	-		Bộ
bang keo	RAW-0639	Băng keo	CON	-		Cuộn
bang keo	RAW-0640	Băng keo 5 phân	CON	-		Cuộn
binh thuy tinh	RAW-0658	Bình thuỷ tinh	CON	-		Cái
binh thuy tinh	RAW-0962	Bình thuỷ tinh 1.6L	NRM			Cái
binh ung tuong nhua	RAW-0659	Bình đựng tương nhựa 1L	CON	-		Cái
binh ung tuong nhua	RAW-0660	Bình đựng tương nhựa 500ml	CON	-		Cái
cong inox co nap	RAW-0706	Công inox 1/2 có nắp	NRM	-		Cái
cong inox co nap	RAW-0707	Công inox 1/3 có nắp	NRM	-		Cái
binh gas	RAW-0729	Bình gas 12kg	CON	-		Kg
binh gas	RAW-0730	Bình gas 45kg	CON	-		Kg
giay tham dau	RAW-0745	Giấy thấm dầu	CON	-		Gói
giay tham dau	RAW-1262	Giấy thấm dầu 28*28cm	CON			Tờ
ke tang	RAW-0759	Kệ 2 tầng ( 1.5m x 0.35m x 0.8m )	NRM	-		Bộ
ke tang	RAW-0760	Kệ 2 tầng ( 2m x 0.35m x 0.8m )	NRM	-		Bộ
ket nhua t	RAW-0768	Két nhựa 3T9	NRM	-		Cái
ket nhua t	RAW-0769	Két nhựa 1T9	NRM	-		Cái
ong hut fi	RAW-0829	Ống hút Fi 12 20 cm	CON			Cái
ong hut fi	RAW-0830	Ống hút Fi 8 20 cm	CON			Cái
ong hut nhua fi	RAW-0834	Ống hút nhựa Fi 12	CON			Cái
ong hut nhua fi	RAW-0835	Ống hút nhựa Fi 8	CON			Cái
ro	RAW-0844	Rổ 0224	NRM			Cái
ro	RAW-0845	Rổ 2368	NRM			Cái
thau inox	RAW-0858	Thau inox 18	NRM			Cái
thau inox	RAW-0859	Thau inox 30	NRM			Cái
thau inox lon size	RAW-0860	Thau inox lớn size 40	NRM			Cái
thau inox lon size	RAW-0861	Thau inox lớn size 60	NRM			Cái
thung rac	RAW-0883	Thùng rác 85L	NRM			Cái
thung rac	RAW-0884	Thùng rác 990L	NRM			Cái
mam nhua	RAW-0959	Mâm nhựa 46/65	NRM			Cái
mam nhua	RAW-0960	Mâm nhựa 30/40	NRM			Cái
hu thuy tinh	RAW-0966	Hủ thủy tinh 3L	NRM			Cái
hu thuy tinh	RAW-0967	Hủ thủy tinh 5L	NRM			Cái
tham welcom	RAW-1030	Thảm welcom 90/120	NRM			Cái
tham welcom	RAW-1031	Thảm welcom 60/90	NRM			Cái
rau xa lach xoong	RAW-1092	Rau xà lách xoong	RAW			Gr
rau xa lach xoong	RAW-1285	Rau Xà lách xoong	RAW	-	23.000	Kg
lap xuong	RAW-1097	Lạp xưởng	RAW			Gr
lap xuong	RAW-1289	Lạp xưởng	RAW	-	130.000	Kg
chao inox	RAW-1152	Chảo inox 24cm	NRM			Cái
chao inox	RAW-1153	Chảo inox 30cm	NRM			Cái
bun gao	RAW-1225	Bún gạo	RAW			Gr
bun gao	RAW-1288	Bún gạo	RAW	-	42.000	Kg
bang ten mica xanh duong x	RAW-1486	Bảng tên mica xanh dương 14x7,5cm				Cái
bang ten mica xanh duong x	RAW-1487	Bảng tên mica xanh dương 30x10cm				Cái
